symbol
BKLLF
CMPS
EHVVF
FTRPF
GTSIF
HAVLF
HSTRF
LKYSF
MMEDF
MMNFF
MYCOF
PEMTF
RVVTF
SEEL
SHRMF
SPLIF
TRMNF
TRUFF
VEGGF
ARYMF
BCLMF
CRECF
DMNXF
LTHHF
NTTHF
PLL
SGMLF
LTHM
CGC
CRLBF
CRON
CURLF
GTBIF
HEXO
NXGB
OGI
TCNNF
VREOF
LEJU
