PORTFOLIO,SYMBOL
ETFs Innovation,GMAN

ETFs Smart Beta,DIA
ETFs Smart Beta,MTUM
ETFs Smart Beta,QQQ
ETFs Smart Beta,RPAR
ETFs Smart Beta,SPY


FUNDS MEGA,AAPL
FUNDS MEGA,AMZN
FUNDS MEGA,CSCO
FUNDS MEGA,FB
FUNDS MEGA,HD
FUNDS MEGA,MMM
FUNDS MEGA,MSFT


HEALTHCARE,ANTM
HEALTHCARE,CI
HEALTHCARE,CNC
HEALTHCARE,FHLC
HEALTHCARE,HUM
HEALTHCARE,JNJ
HEALTHCARE,THC
HEALTHCARE,UNH

HOME Constructionm,BLD
HOME Constructionm,DHI
HOME Constructionm,ITB
HOME Constructionm,LEN
HOME Constructionm,LL
HOME Constructionm,MAS
HOME Constructionm,NVR
HOME Constructionm,PHM
HOME Constructionm,SSD
HOME Constructionm,TOL
HOME Constructionm,UFPI

HOME Decore,FND
HOME Decore,HOME
HOME Decore,KBH
HOME Decore,KIRK
HOME Decore,RH

SHIPPING,ATCO
SHIPPING,CMRE
SHIPPING,CPLP
SHIPPING,DAC
SHIPPING,GSL
SHIPPING,PSHG


TECH 5G,AVNW
TECH 5G,AMT
TECH 5G,CCI
TECH 5G,CEVA
TECH 5G,COMM
TECH 5G,CRNT
TECH 5G,ERIC
TECH 5G,FN
TECH 5G,GLW
TECH 5G,IDCC
TECH 5G,IIVI
TECH 5G,INFN
TECH 5G,IPGP
TECH 5G,KEYS
TECH 5G,MRVL
TECH 5G,MXL
TECH 5G,NOK
TECH 5G,NXPI
TECH 5G,QRVO
TECH 5G,SANM
TECH 5G,SBAC
TECH 5G,VIAV
TECH 5G,XLNX

TECH AI,ADBE
TECH AI,AMBA
TECH AI,BIDU
TECH AI,CNDT
TECH AI,COF
TECH AI,DMRC
TECH AI,EBAY
TECH AI,GOOGL
TECH AI,GPRO
TECH AI,IBM
TECH AI,NLOK
TECH AI,NUAN
TECH AI,SOGO


TECH IOT,ALRM
TECH IOT,APH
TECH IOT,BOTZ
TECH IOT,DGII
TECH IOT,DXCM
TECH IOT,HON
TECH IOT,IPHI
TECH IOT,JCI
TECH IOT,LTRX
TECH IOT,MDLA
TECH IOT,MPWR
TECH IOT,NPTN
TECH IOT,PI
TECH IOT,PING
TECH IOT,ROK
TECH IOT,ROP
TECH IOT,SNSR
TECH IOT,ST
TECH IOT,SWIR
TECH IOT,SWKS

TECH SAAS,CRM
TECH SAAS,CTXS
TECH SAAS,FFIV
TECH SAAS,GWRE
TECH SAAS,MANH
TECH SAAS,PAYC
TECH SAAS,PCTY
TECH SAAS,QTWO
TECH SAAS,RNG
TECH SAAS,SAIL
TECH SAAS,SAP
TECH SAAS,CSOD
TECH SAAS,EGHT
TECH SAAS,PFPT
TECH SAAS,SSNC
TECH SAAS,TYL




TECH Semiconductors,AMAT
TECH Semiconductors,AMD
TECH Semiconductors,AMKR
TECH Semiconductors,AVGO
TECH Semiconductors,INTC
TECH Semiconductors,KLAC
TECH Semiconductors,LRCX
TECH Semiconductors,MU
TECH Semiconductors,MX
TECH Semiconductors,NVDA
TECH Semiconductors,QCOM
TECH Semiconductors,STX
TECH Semiconductors,TSM
TECH Semiconductors,TXN

TRAVEL,BKNG
TRAVEL,CCL
TRAVEL,DAL
TRAVEL,EXPE
TRAVEL,JETS
TRAVEL,LUV
TRAVEL,MMYT
TRAVEL,NCLH
TRAVEL,RCL
TRAVEL,SABR
TRAVEL,TRIP
TRAVEL,TZOO
TRAVEL,UAL



