symbol
AAPL
ABBV
AMZN
ARKF
ARKG
ARKK
ARKQ
ARKW
AVGO
AZRE
BEKE
BYDDF
CMPS
CSIQ
DQ
ENPH
FFC
FLC
GE
GM
GOOGL
HASI
LI
LKYSF
LMND
LU
MMEDF
MSFT
NVDA
NXGB
QCOM
RVVTF
SDGR
SEEL
SPWR
TCEHY
TCNNF
TDF
TRMNF
TSM
VWDRY
XPEV
