symbol
ABBV
AGNC
AMD
AMGN
AMKR
AMT
AOD
ARR
AY
AZRE
BAM
BAND
BEKE
BEP
BIP
BKNG
BME
BMY
BPY
BWEN
CCI
CCL
CHY
CMRE
CONE
CRF
CRWD
CWEN
DAC
DAL
DFP
DX
EDN
EEM
EEMA
EIRL
EMQQ
EQIX
EVRG
EVT
EWK
EWN
EWO
EWT
EWY
EXEL
EXPE
FANH
FPE
FSLY
GILD
GNTX
GSL
GXC
HASI
HQH
HQL
IEMG
ILMN
INVA
IRDM
JETS
JLL
KLAC
LI
LLY
LRCX
LUV
LX
MMYT
MRK
MU
NCLH
NEE
NEP
NET
NIU
NLY
NVDA
NVO
NVS
OKTA
ORA
ORC
PFE
PTY
PZD
QCOM
RCL
REGN
SABR
SLG
STX
SWKS
TDF
THQ
THW
TPIC
TRIP
TSLA
TSM
TWLO
TWO
TXN
TZOO
UAL
UDR
VEEV
VG
VWO
ZM
ZS
